driver_id,ts,lat,lon,speed_kph,accel_mps2,brake_mps2,heading_deg,odometer_km,phone_use,road_type,weather_code
D_078,2025-10-04T00:31:56.713832Z,43.098592,-78.900907,44.73,-2.01,0.59,215.3,2351.98,0,city,SNW
D_080,2025-10-04T00:41:56.713832Z,42.883046,-78.762558,109.39,-0.15,2.21,43.9,10038.1,0,highway,RAN
D_087,2025-10-04T01:28:56.713832Z,43.093483,-78.856145,49.36,-1.61,-0.19,303.2,33682.49,0,city,CLR
D_032,2025-10-03T23:41:56.713832Z,43.105118,-78.902912,28.15,2.51,0.14,213.3,31074.61,0,city,CLR
D_084,2025-10-04T02:57:56.713832Z,42.873481,-79.099549,36.0,2.11,-1.36,119.0,28502.0,0,city,CLR
D_000,2025-10-03T22:34:56.713832Z,43.033591,-78.746323,31.49,1.03,-0.67,338.5,14535.0,0,city,CLR
D_071,2025-10-04T02:38:56.713832Z,42.754707,-78.879512,57.48,2.07,-3.21,265.2,11615.59,0,rural,CLR
D_004,2025-10-04T01:32:56.713832Z,42.968472,-78.895894,44.04,0.83,-1.43,288.9,41249.21,0,city,CLR
D_017,2025-10-04T00:05:56.713832Z,42.993176,-78.857587,101.08,1.49,1.92,150.0,44062.56,0,highway,RAN
D_038,2025-10-03T23:20:56.713832Z,42.996508,-78.849941,33.2,-0.19,0.45,14.2,3238.55,0,city,CLR
D_006,2025-10-04T03:24:56.713832Z,43.224694,-78.641903,36.81,1.43,-2.67,9.5,46790.03,0,city,CLR
D_095,2025-10-04T03:05:56.713832Z,42.715516,-78.789218,47.92,-0.87,-5.24,224.5,30842.94,0,city,RAN
D_093,2025-10-04T03:24:56.713832Z,43.059205,-78.697145,9.92,-2.66,1.18,359.8,24602.3,0,city,CLR
D_055,2025-10-04T02:44:56.713832Z,43.098781,-78.700251,29.08,2.04,2.17,337.4,23084.21,1,city,SNW
D_093,2025-10-04T02:56:56.713832Z,43.049583,-78.689014,44.61,2.08,-0.13,185.2,24571.19,0,city,RAN
D_074,2025-10-03T21:55:56.713832Z,42.970018,-78.79875,37.34,2.27,-1.18,163.2,30825.5,0,city,CLR
D_075,2025-10-04T01:46:56.713832Z,43.113367,-78.952164,41.99,2.84,-2.23,24.2,45351.05,0,city,CLR
D_070,2025-10-03T23:27:56.713832Z,42.969463,-78.922767,49.09,1.55,-3.37,39.5,13764.04,0,city,RAN
D_037,2025-10-04T03:27:56.713832Z,43.017534,-79.195535,77.11,-0.07,-0.56,188.1,3828.81,0,highway,CLR
D_038,2025-10-04T02:13:56.713832Z,43.018997,-78.984812,51.12,0.25,-2.75,98.6,3428.41,0,city,CLR
D_037,2025-10-04T02:53:56.713832Z,43.086383,-79.18026,41.14,-0.46,1.24,307.6,3793.74,0,city,CLR
D_001,2025-10-03T23:43:56.713832Z,43.108253,-78.890337,88.24,0.05,-1.28,38.3,11810.08,0,highway,CLR
D_006,2025-10-04T00:18:56.713832Z,43.165716,-78.84122,65.73,-0.57,-0.52,227.0,46601.05,0,rural,RAN
D_020,2025-10-04T03:04:56.713832Z,42.993899,-78.94456,23.92,-0.96,2.66,185.3,5857.02,0,city,RAN
D_079,2025-10-04T02:48:56.713832Z,42.928402,-78.826089,93.19,0.69,-1.27,318.4,29934.52,0,highway,SNW
D_006,2025-10-04T03:07:56.713832Z,43.174029,-78.610826,79.41,0.51,1.01,123.6,46771.9,0,rural,CLR
D_008,2025-10-04T02:11:56.713832Z,42.937152,-79.062637,88.78,2.08,0.15,201.3,28745.24,0,highway,CLR
D_047,2025-10-04T03:32:56.713832Z,43.037317,-78.778461,34.33,1.75,0.08,99.0,9520.4,0,city,SNW
D_049,2025-10-03T23:01:56.713832Z,42.886934,-78.787515,40.75,0.33,-2.82,335.0,40161.86,0,city,SNW
D_088,2025-10-03T21:54:56.713832Z,42.986308,-78.815655,76.16,-0.35,1.47,331.6,15578.99,0,rural,CLR
D_069,2025-10-04T02:49:56.713832Z,42.928481,-78.995679,62.49,-0.7,-0.06,317.5,20127.99,0,rural,CLR
D_044,2025-10-03T23:10:56.713832Z,43.022563,-78.931647,109.93,-0.94,0.35,312.1,31446.3,0,highway,RAN
D_015,2025-10-03T23:30:56.713832Z,43.013646,-78.775219,33.14,0.76,-0.31,199.2,37756.2,0,city,RAN
D_042,2025-10-04T01:04:56.713832Z,43.034059,-78.687696,58.61,-0.47,-0.7,115.6,32906.77,0,city,RAN
D_062,2025-10-03T22:33:56.713832Z,42.95432,-78.888965,37.05,-0.38,-1.1,192.9,42514.69,0,city,CLR
D_094,2025-10-04T02:37:56.713832Z,42.852775,-78.920994,100.59,-0.28,-1.36,73.1,37865.77,0,highway,CLR
D_068,2025-10-04T01:35:56.713832Z,42.978789,-78.879756,57.53,-1.77,1.8,77.8,3840.33,0,rural,RAN
D_033,2025-10-03T23:22:56.713832Z,42.891954,-79.002339,32.32,2.7,-0.48,75.6,27571.79,0,city,CLR
D_054,2025-10-03T23:45:56.713832Z,42.84923,-78.863752,43.05,-1.16,-0.73,349.4,3324.06,0,city,RAN
D_041,2025-10-03T22:52:56.713832Z,42.988849,-78.898891,49.86,1.02,-2.39,75.4,4412.7,0,city,CLR
D_012,2025-10-03T22:24:56.713832Z,42.988465,-78.879179,85.59,0.23,0.25,301.8,23747.59,0,rural,CLR
D_075,2025-10-04T02:14:56.713832Z,43.123257,-79.001815,46.77,-0.99,-0.68,38.7,45373.19,0,city,CLR
D_028,2025-10-04T02:24:56.713832Z,43.017179,-78.679876,98.73,-0.22,-2.39,174.5,11931.42,0,highway,SNW
D_010,2025-10-04T01:46:56.713832Z,42.780852,-78.794324,109.31,-2.83,-0.11,203.0,31350.68,0,highway,CLR
D_033,2025-10-04T03:10:56.713832Z,42.916629,-79.047165,55.29,0.81,0.13,24.3,27795.21,0,city,CLR
D_020,2025-10-04T03:34:56.713832Z,43.051643,-78.89839,47.41,-1.15,0.27,27.6,5890.31,0,city,CLR
D_002,2025-10-03T23:07:56.713832Z,43.023223,-78.942778,95.47,0.91,2.17,280.4,42008.97,0,highway,CLR
D_098,2025-10-04T03:32:56.713832Z,43.162207,-78.674878,60.77,1.02,0.23,91.5,4403.67,0,rural,CLR
D_071,2025-10-04T02:12:56.713832Z,42.694579,-78.823117,56.49,0.9,-1.35,147.1,11586.5,0,rural,CLR
D_006,2025-10-04T03:18:56.713832Z,43.217441,-78.651193,103.09,-1.61,-0.65,231.4,46783.69,0,highway,CLR
D_004,2025-10-03T22:23:56.713832Z,42.979351,-78.83306,90.35,2.01,1.39,160.0,41049.28,0,highway,CLR
D_056,2025-10-04T01:42:56.713832Z,42.787948,-78.709568,57.65,0.99,1.41,152.6,27706.57,0,city,CLR
D_062,2025-10-03T23:51:56.713832Z,43.026856,-78.903455,49.31,0.15,-1.18,163.9,42598.45,0,city,CLR
D_096,2025-10-04T00:14:56.713832Z,42.907164,-78.717965,65.12,0.77,-0.37,196.6,23187.25,0,rural,CLR
D_059,2025-10-04T01:47:56.713832Z,42.971934,-78.693292,79.98,0.37,-1.85,211.3,38638.34,0,highway,CLR
D_060,2025-10-04T03:26:56.713832Z,42.987465,-78.681574,27.53,0.17,0.72,60.4,4263.45,1,city,RAN
D_045,2025-10-03T23:11:56.713832Z,42.917817,-78.850088,48.78,-0.57,-0.85,221.7,45320.5,0,city,CLR
D_086,2025-10-04T00:29:56.713832Z,42.978497,-78.588152,92.82,2.48,-2.23,260.8,15563.78,0,highway,RAN
D_069,2025-10-03T22:18:56.713832Z,42.860587,-78.754872,87.14,2.36,-0.34,213.9,19837.71,0,highway,RAN
D_069,2025-10-03T22:55:56.713832Z,42.843551,-78.820797,67.08,1.6,-1.32,265.2,19878.99,0,rural,RAN
D_026,2025-10-04T02:35:56.713832Z,42.950693,-78.774734,41.95,2.67,0.16,153.2,16441.85,0,city,CLR
D_068,2025-10-04T03:11:56.713832Z,42.990924,-79.046104,42.79,0.3,0.37,324.6,3942.0,0,city,CLR
D_059,2025-10-04T01:56:56.713832Z,42.944911,-78.70838,72.15,1.73,0.9,219.0,38648.36,0,rural,CLR
D_037,2025-10-03T22:59:56.713832Z,43.034683,-79.213099,112.25,0.98,-1.34,321.3,3555.21,0,highway,CLR
D_061,2025-10-04T00:53:56.713832Z,42.956465,-78.791769,31.1,-1.07,0.92,261.6,23009.35,1,city,CLR
D_018,2025-10-03T22:07:56.713832Z,42.947721,-78.851015,34.5,-1.48,2.24,223.7,16643.82,0,city,RAN
D_083,2025-10-03T23:07:56.713832Z,43.057816,-78.752703,100.02,1.28,-0.63,91.8,10968.91,0,highway,SNW
D_046,2025-10-03T23:39:56.713832Z,42.920273,-78.741025,100.44,-1.22,-2.05,168.5,42422.48,0,highway,CLR
D_034,2025-10-04T02:27:56.713832Z,42.969639,-78.864,54.92,0.0,-2.07,162.1,17928.58,0,city,CLR
D_063,2025-10-04T01:40:56.713832Z,42.98541,-79.044485,36.28,0.14,-0.53,194.1,19553.77,0,city,RAN
D_065,2025-10-04T02:11:56.713832Z,43.030207,-79.066179,37.48,0.42,-2.38,311.4,30270.36,0,city,CLR
D_099,2025-10-03T22:16:56.713832Z,42.878588,-78.888377,50.44,3.71,-5.46,325.3,36539.01,0,city,RAN
D_046,2025-10-04T02:16:56.713832Z,42.968548,-78.45997,91.45,-0.83,-5.27,30.2,42594.09,0,highway,CLR
D_054,2025-10-04T02:22:56.713832Z,42.870717,-79.006192,93.07,-0.57,0.95,172.8,3489.58,0,highway,CLR
D_006,2025-10-04T03:34:56.713832Z,43.17933,-78.656267,36.66,0.66,-1.45,232.1,46798.84,0,city,RAN
D_026,2025-10-04T01:25:56.713832Z,42.972596,-78.765896,93.06,0.62,0.56,105.3,16365.06,0,highway,CLR
D_047,2025-10-04T01:06:56.713832Z,43.019583,-78.684845,57.84,-2.27,-1.54,344.1,9364.84,1,city,RAN
D_013,2025-10-04T01:26:56.713832Z,42.792978,-78.722241,114.88,2.44,0.29,138.5,39926.62,0,highway,CLR
D_070,2025-10-04T00:56:56.713832Z,42.854243,-78.819238,72.67,0.29,-1.85,217.8,13858.37,0,rural,CLR
D_005,2025-10-03T23:21:56.713832Z,43.062102,-78.739728,52.6,0.1,-0.75,249.8,44539.7,0,city,CLR
D_015,2025-10-04T00:35:56.713832Z,43.026578,-78.797967,57.28,2.56,1.57,229.0,37822.57,0,rural,CLR
D_001,2025-10-03T23:58:56.713832Z,43.135438,-78.83307,106.37,-2.18,0.08,86.7,11827.67,0,highway,CLR
D_007,2025-10-03T22:09:56.713832Z,42.928937,-78.771264,48.59,-0.37,0.83,332.4,36180.75,0,city,CLR
D_095,2025-10-04T01:22:56.713832Z,42.786581,-78.857114,78.01,-1.87,-2.64,28.8,30735.11,0,highway,CLR
D_009,2025-10-03T23:49:56.713832Z,42.881649,-78.919938,99.14,-1.76,-3.02,86.4,8564.36,0,highway,CLR
D_081,2025-10-04T00:22:56.713832Z,42.976439,-78.657463,97.14,1.86,0.53,14.3,47340.83,0,highway,RAN
D_038,2025-10-04T01:42:56.713832Z,43.000963,-78.890154,48.16,-0.6,0.79,140.6,3396.57,0,city,RAN
D_093,2025-10-04T00:29:56.713832Z,43.038659,-78.735226,51.5,-0.78,-0.37,44.5,24421.6,0,rural,RAN
D_024,2025-10-03T22:21:56.713832Z,42.945267,-78.756895,101.75,-0.2,0.15,355.2,20095.28,0,highway,CLR
D_084,2025-10-04T01:23:56.713832Z,42.935946,-78.934075,57.94,3.6,2.51,225.4,28403.9,0,city,CLR
D_045,2025-10-04T00:42:56.713832Z,42.773005,-78.851168,71.88,1.2,-2.93,114.1,45410.51,0,rural,CLR
D_068,2025-10-03T22:33:56.713832Z,42.999998,-78.821383,45.29,1.1,-1.13,56.1,3653.02,0,city,CLR
D_079,2025-10-03T23:34:56.713832Z,42.982384,-78.723213,78.3,1.77,-5.73,189.4,29727.81,0,rural,CLR
D_020,2025-10-03T22:58:56.713832Z,42.988946,-78.897843,26.41,-0.54,0.07,138.5,5597.53,0,city,CLR
D_097,2025-10-03T23:07:56.713832Z,43.035648,-78.868603,50.8,3.35,-3.18,290.6,6786.2,0,rural,SNW
D_047,2025-10-03T22:28:56.713832Z,42.938909,-78.784865,81.03,2.4,-1.15,284.2,9196.01,0,highway,CLR
D_001,2025-10-03T22:03:56.713832Z,42.953338,-78.840817,115.71,2.38,0.71,27.7,11701.67,0,highway,CLR
D_085,2025-10-04T03:09:56.713832Z,43.071824,-78.679294,100.16,1.76,0.56,227.9,6179.18,0,highway,SNW
D_037,2025-10-04T03:19:56.713832Z,43.01779,-79.172315,26.79,-0.41,-1.69,46.7,3822.29,0,city,CLR
D_021,2025-10-04T01:47:56.713832Z,42.932072,-78.759242,31.35,1.92,-1.95,48.5,28826.55,1,city,SNW
D_018,2025-10-04T00:15:56.713832Z,42.956807,-78.974561,70.64,-2.56,-0.46,275.5,16772.63,0,rural,CLR
D_084,2025-10-04T00:24:56.713832Z,42.998158,-78.832604,31.2,-1.13,0.97,298.1,28336.37,0,city,CLR
D_008,2025-10-04T02:04:56.713832Z,42.933693,-79.067175,58.05,-0.88,1.64,13.5,28736.12,0,rural,CLR
D_067,2025-10-03T23:46:56.713832Z,42.900728,-78.901744,44.6,1.37,-2.5,189.0,45207.64,0,city,CLR
D_088,2025-10-04T01:03:56.713832Z,42.939365,-79.136597,63.32,-0.32,-0.62,162.5,15780.2,0,rural,RAN
D_064,2025-10-04T01:35:56.713832Z,43.045593,-78.992928,76.49,0.25,0.56,358.5,9042.15,0,highway,CLR
D_007,2025-10-04T00:46:56.713832Z,42.890927,-78.937128,26.5,0.08,-1.52,222.7,36356.03,0,city,CLR
D_029,2025-10-03T22:30:56.713832Z,43.002883,-78.916568,58.01,-3.75,-0.05,143.8,44496.68,0,city,RAN
D_055,2025-10-03T23:54:56.713832Z,43.070235,-78.579203,78.99,1.24,3.69,11.2,22887.4,0,rural,CLR
D_011,2025-10-04T01:42:56.713832Z,42.808886,-78.925934,93.35,-2.16,1.73,51.3,31513.91,0,highway,RAN
D_006,2025-10-04T02:51:56.713832Z,43.200503,-78.640323,54.1,1.34,-1.52,334.8,46759.32,0,city,RAN
D_089,2025-10-04T02:52:56.713832Z,42.662294,-78.83639,91.84,0.12,1.31,84.0,37376.22,0,highway,CLR
D_063,2025-10-04T02:35:56.713832Z,43.021083,-78.98578,41.47,-2.12,-0.16,21.4,19610.55,0,city,RAN
D_008,2025-10-03T22:39:56.713832Z,42.885844,-78.853814,20.08,-2.3,1.5,231.3,28512.96,0,city,CLR
D_084,2025-10-04T02:08:56.713832Z,42.885055,-79.00276,14.21,0.51,-0.34,59.1,28452.48,0,city,RAN
D_098,2025-10-04T00:08:56.713832Z,43.099741,-78.898111,13.8,0.58,-0.07,9.3,4183.59,0,city,CLR
D_086,2025-10-03T21:49:56.713832Z,42.979283,-78.830087,62.96,-0.46,-0.5,247.3,15385.27,0,rural,CLR
D_075,2025-10-04T03:13:56.713832Z,43.141913,-78.911055,62.87,0.17,-2.07,23.9,45433.0,1,rural,CLR
D_073,2025-10-04T00:22:56.713832Z,42.996107,-78.746283,63.56,1.84,-0.07,256.1,45796.59,0,rural,CLR
D_092,2025-10-04T03:16:56.713832Z,42.714655,-78.916433,26.47,-3.94,-0.4,337.5,12533.24,0,city,RAN
D_099,2025-10-04T03:38:56.713832Z,42.916386,-79.124218,105.15,-0.1,-0.15,18.0,36889.51,0,highway,CLR
D_083,2025-10-04T02:29:56.713832Z,43.024277,-78.590992,41.24,1.06,-2.65,319.1,11171.53,0,city,SNW
D_058,2025-10-04T02:18:56.713832Z,42.997327,-79.08513,47.39,0.14,0.42,43.4,27071.59,0,city,CLR
D_021,2025-10-04T00:27:56.713832Z,42.965888,-78.750666,32.89,-2.46,0.92,243.4,28744.1,0,city,CLR
D_081,2025-10-04T00:34:56.713832Z,42.972049,-78.621721,29.37,-2.6,2.05,41.2,47355.13,1,city,CLR
D_062,2025-10-04T02:08:56.713832Z,42.929986,-79.008421,45.14,-1.8,1.69,99.0,42744.27,0,city,CLR
D_052,2025-10-03T23:00:56.713832Z,42.958833,-78.820005,34.15,-0.66,-2.41,138.5,17123.23,0,city,CLR
D_074,2025-10-03T22:24:56.713832Z,42.980388,-78.745762,37.66,0.07,-0.86,205.5,30854.88,0,city,CLR
D_073,2025-10-04T02:03:56.713832Z,43.009278,-78.637938,39.41,-1.39,-2.34,205.8,45900.9,0,city,CLR
D_005,2025-10-04T02:35:56.713832Z,43.023157,-78.649023,103.97,0.78,-1.28,179.4,44740.18,0,highway,CLR
D_049,2025-10-04T01:45:56.713832Z,42.955082,-78.706405,45.08,0.57,0.29,277.6,40341.68,0,city,RAN
D_025,2025-10-04T01:00:56.713832Z,43.017734,-78.959897,33.85,1.33,1.14,89.1,5945.75,0,city,CLR
D_043,2025-10-04T01:18:56.713832Z,42.929131,-78.578686,100.72,-2.78,-0.02,42.1,6970.25,0,highway,CLR
D_012,2025-10-04T03:02:56.713832Z,42.960265,-79.082558,37.83,-0.36,-1.88,291.0,24042.09,0,city,CLR
D_058,2025-10-04T02:05:56.713832Z,43.003534,-79.104878,32.75,0.56,2.85,80.5,27056.89,0,city,CLR
D_067,2025-10-04T00:15:56.713832Z,42.923832,-78.913279,35.74,-2.83,4.9,51.4,45238.26,0,city,CLR
D_016,2025-10-04T02:05:56.713832Z,42.922715,-78.922397,91.27,-0.8,2.11,19.3,19878.74,0,highway,CLR
D_070,2025-10-03T23:52:56.713832Z,42.937073,-78.852199,42.51,0.74,-3.6,358.8,13794.32,0,city,RAN
D_016,2025-10-04T01:55:56.713832Z,42.916174,-78.948709,60.98,-1.55,0.62,168.0,19868.05,0,rural,RAN
D_074,2025-10-04T01:30:56.713832Z,43.078997,-78.489352,97.99,0.46,0.78,41.2,31051.13,0,highway,CLR
D_038,2025-10-04T01:49:56.713832Z,43.002378,-78.87607,83.45,1.3,-3.69,41.4,3404.83,0,highway,RAN
D_070,2025-10-03T23:30:56.713832Z,42.967383,-78.917092,40.13,1.3,0.06,168.6,13766.87,0,city,CLR
D_061,2025-10-04T02:06:56.713832Z,43.062654,-78.729258,52.62,-1.21,0.32,190.5,23084.0,0,rural,CLR
D_004,2025-10-03T21:59:56.713832Z,42.96274,-78.807314,62.69,2.23,-0.01,183.9,41022.29,0,rural,RAN
D_011,2025-10-04T00:38:56.713832Z,42.796671,-78.90911,47.68,0.32,-0.27,112.0,31444.89,0,city,CLR
D_080,2025-10-03T21:46:56.713832Z,42.970949,-78.782036,64.69,1.04,-0.19,65.8,9852.79,0,rural,RAN
D_084,2025-10-04T01:40:56.713832Z,42.88906,-78.94309,44.63,-1.08,-2.44,148.6,28421.74,0,city,CLR
D_025,2025-10-03T21:54:56.713832Z,42.926441,-78.797076,31.79,-0.26,-0.74,38.1,5759.7,0,city,RAN
D_067,2025-10-04T01:12:56.713832Z,42.974839,-78.889064,96.99,0.28,-2.55,263.8,45296.75,0,highway,RAN
D_046,2025-10-04T01:25:56.713832Z,42.988143,-78.541006,48.21,-0.43,-1.28,2.4,42537.71,0,city,RAN
D_048,2025-10-03T22:41:56.713832Z,42.889316,-78.760066,39.32,-0.76,-0.72,248.5,8492.0,0,city,RAN
D_015,2025-10-03T22:33:56.713832Z,43.006934,-78.746913,96.96,-1.39,4.11,331.3,37693.41,0,highway,RAN
D_077,2025-10-04T00:12:56.713832Z,42.813495,-78.836759,84.32,-0.59,-3.27,333.0,5703.99,0,highway,CLR
D_078,2025-10-03T21:59:56.713832Z,42.961294,-78.833066,36.28,-0.16,-3.2,359.6,2194.34,0,city,CLR
D_027,2025-10-04T01:40:56.713832Z,43.041718,-78.459461,97.35,1.26,1.0,305.1,43591.52,0,highway,CLR
D_033,2025-10-03T21:52:56.713832Z,42.957789,-78.807997,49.71,2.12,-0.78,147.0,27476.3,0,city,RAN
D_037,2025-10-04T01:30:56.713832Z,43.058262,-79.231904,28.51,-0.94,0.07,96.6,3711.77,0,city,CLR
D_063,2025-10-04T01:13:56.713832Z,42.983494,-79.110284,47.15,3.33,-0.04,283.8,19527.97,0,city,CLR
D_003,2025-10-04T01:16:56.713832Z,43.027109,-78.856364,25.99,0.66,1.23,263.4,37927.83,0,city,CLR
D_096,2025-10-03T22:12:56.713832Z,42.952304,-78.839867,82.01,4.45,-1.49,359.3,23059.94,0,highway,CLR
D_061,2025-10-04T03:28:56.713832Z,43.163025,-78.623646,38.34,-3.3,-2.38,335.9,23167.78,0,city,CLR
D_012,2025-10-03T22:48:56.713832Z,42.992753,-78.907518,63.12,0.03,4.41,225.5,23771.93,1,rural,SNW
D_045,2025-10-04T01:41:56.713832Z,42.796443,-78.856155,91.85,1.72,0.36,64.0,45474.01,0,highway,RAN
D_015,2025-10-04T01:57:56.713832Z,43.046082,-78.868851,75.89,1.26,-1.06,327.7,37901.56,0,highway,CLR
D_085,2025-10-03T23:58:56.713832Z,42.938818,-78.660782,47.2,0.79,-3.3,200.6,5985.27,0,rural,RAN
D_086,2025-10-04T01:50:56.713832Z,43.061574,-78.520305,101.36,-2.26,1.39,55.3,15644.08,1,highway,CLR
D_093,2025-10-04T00:15:56.713832Z,43.010891,-78.782114,76.71,0.24,-0.77,203.5,24405.64,0,highway,RAN
D_043,2025-10-04T00:28:56.713832Z,42.980686,-78.668277,43.58,-0.89,-0.4,123.6,6918.03,0,city,CLR
D_013,2025-10-03T22:36:56.713832Z,42.914695,-78.853212,94.63,-1.41,-0.4,50.7,39750.46,0,highway,RAN
D_076,2025-10-03T22:09:56.713832Z,42.960267,-78.805702,108.93,2.56,-0.75,352.9,30199.27,0,highway,CLR
D_073,2025-10-04T00:50:56.713832Z,43.012714,-78.776284,87.1,1.01,1.26,354.2,45826.06,0,highway,CLR
D_001,2025-10-04T03:30:56.713832Z,43.018087,-78.694612,38.57,0.98,-0.89,188.9,12054.7,0,city,CLR
D_002,2025-10-03T22:45:56.713832Z,43.019515,-78.834522,59.76,-0.43,-2.06,345.2,41986.55,0,rural,CLR
D_065,2025-10-04T01:37:56.713832Z,43.064061,-78.85728,86.79,-1.75,0.16,61.3,30233.11,0,highway,CLR
D_096,2025-10-03T23:45:56.713832Z,42.886168,-78.721648,39.11,-0.32,-1.39,331.4,23158.86,1,city,CLR
D_073,2025-10-04T02:33:56.713832Z,42.990543,-78.539339,54.46,1.05,2.52,75.6,45929.23,0,city,RAN
D_077,2025-10-03T23:48:56.713832Z,42.856279,-78.915916,68.81,1.09,-1.25,109.2,5676.26,0,rural,CLR
D_096,2025-10-03T22:00:56.713832Z,42.957525,-78.85313,24.57,0.91,0.07,267.9,23050.33,0,city,CLR
D_081,2025-10-04T01:54:56.713832Z,42.96231,-78.612443,53.98,-0.59,-0.58,322.6,47436.21,0,city,CLR
D_037,2025-10-04T01:58:56.713832Z,43.026483,-79.26525,58.57,1.91,-0.83,243.4,3737.24,0,city,RAN
