driver_id,ts,lat,lon,speed_kph,accel_mps2,brake_mps2,heading_deg,odometer_km,phone_use,road_type,weather_code,hard_brake
D_021,2025-10-04T16:40:02.017013+00:00,42.877203,-78.724782,25.38,-1.2,1.18,250.1,28621.45,0,city,CLR,0
D_009,2025-10-04T18:08:02.017013+00:00,42.859927,-78.951639,44.19,0.29,-1.93,251.1,8578.77,0,city,SNW,0
D_031,2025-10-04T21:31:02.017013+00:00,43.056687,-78.989791,83.72,2.14,0.8,128.4,40667.98,0,highway,CLR,0
D_006,2025-10-04T19:26:02.017013+00:00,43.078483,-78.635383,96.63,1.37,1.32,223.9,46674.32,0,highway,CLR,0
D_025,2025-10-04T19:12:02.017013+00:00,43.064381,-78.950584,39.84,1.44,-0.81,298.6,5953.39,0,city,CLR,0
D_053,2025-10-04T20:16:02.017013+00:00,43.087327,-79.088308,17.56,1.01,-2.44,207.6,26860.54,0,city,CLR,0
D_016,2025-10-04T17:23:02.017013+00:00,42.961152,-78.991535,52.26,0.31,2.19,322.9,19697.93,0,city,RAN,0
D_057,2025-10-04T20:49:02.017013+00:00,42.601118,-79.039054,65.42,-0.38,-0.9,229.6,11807.14,0,rural,CLR,0
D_026,2025-10-04T16:14:02.017013+00:00,42.952897,-78.863103,104.0,-1.96,-2.78,204.7,16159.9,0,highway,CLR,0
D_001,2025-10-04T20:42:02.017013+00:00,43.056272,-78.662852,81.24,0.43,0.01,49.8,12001.99,0,highway,RAN,0
D_098,2025-10-04T17:51:02.017013+00:00,43.031244,-78.927788,30.16,0.78,-1.07,261.3,4161.49,0,city,SNW,0
D_091,2025-10-04T18:17:02.017013+00:00,43.074056,-78.935393,63.11,0.88,-1.71,319.2,43511.23,0,rural,CLR,0
D_075,2025-10-04T16:20:02.017013+00:00,42.981233,-78.785973,45.67,0.18,0.72,268.9,45127.31,0,city,CLR,0
D_093,2025-10-04T16:32:02.017013+00:00,42.935782,-78.858552,35.82,0.04,-0.54,24.3,24289.84,0,city,CLR,0
D_055,2025-10-04T16:35:02.017013+00:00,42.999609,-78.732964,29.28,3.71,-0.92,85.1,22794.66,0,city,CLR,0
D_063,2025-10-04T17:58:02.017013+00:00,42.941615,-79.01824,98.19,2.0,-0.82,189.3,19438.13,0,highway,SNW,0
D_004,2025-10-04T18:49:02.017013+00:00,42.961598,-78.843557,97.52,-1.59,-0.24,143.5,41198.37,0,highway,RAN,0
D_032,2025-10-04T18:01:02.017013+00:00,43.149298,-78.839759,42.61,-0.17,2.47,136.2,31091.0,0,city,RAN,0
D_089,2025-10-04T16:58:02.017013+00:00,42.853423,-78.841893,55.57,0.08,0.16,263.8,37123.78,0,city,CLR,0
D_053,2025-10-04T20:21:02.017013+00:00,43.100567,-79.094619,37.49,-0.68,-0.62,258.9,26864.13,0,city,RAN,0
D_096,2025-10-04T21:15:02.017013+00:00,43.067868,-78.572959,74.92,1.11,1.41,251.1,23376.67,0,rural,CLR,0
D_049,2025-10-04T19:17:02.017013+00:00,42.92077,-78.734469,67.37,2.27,-1.35,249.4,40302.83,1,rural,CLR,0
D_083,2025-10-04T19:58:02.017013+00:00,42.995324,-78.628562,27.46,-0.53,-2.43,231.6,11136.65,0,city,RAN,0
D_047,2025-10-04T21:19:02.017013+00:00,43.011201,-78.780403,102.75,-2.09,-1.3,151.1,9505.67,0,highway,RAN,0
D_015,2025-10-04T16:17:02.017013+00:00,42.979076,-78.765724,26.21,-0.01,0.05,38.4,37671.06,0,city,CLR,0
D_060,2025-10-04T19:20:02.017013+00:00,43.083752,-78.913451,40.05,-1.03,-3.74,196.9,4128.89,0,city,RAN,0
D_045,2025-10-04T18:03:02.017013+00:00,42.86715,-78.762554,48.58,-0.87,-1.55,238.5,45369.02,0,city,RAN,0
D_028,2025-10-04T21:27:02.017013+00:00,43.030859,-78.759404,93.26,-0.39,-0.33,278.6,11987.65,0,highway,CLR,0
D_062,2025-10-04T19:43:02.017013+00:00,42.900514,-79.003426,116.48,1.02,-1.54,206.7,42714.88,0,highway,CLR,0
D_085,2025-10-04T19:29:02.017013+00:00,42.970252,-78.634852,47.93,2.04,-1.43,129.8,6069.3,0,city,CLR,0
D_031,2025-10-04T19:06:02.017013+00:00,42.948559,-78.924391,20.32,0.81,-1.52,329.9,40507.3,0,city,CLR,0
D_061,2025-10-04T19:45:02.017013+00:00,42.995666,-78.819183,48.63,-0.09,0.5,137.9,23057.94,0,city,CLR,0
D_045,2025-10-04T19:07:02.017013+00:00,42.785586,-78.877983,95.16,-1.26,-2.3,212.3,45431.17,0,highway,CLR,0
D_019,2025-10-04T17:31:02.017013+00:00,42.856637,-78.748721,33.29,-0.67,-0.49,138.9,9607.16,0,city,RAN,0
D_096,2025-10-04T19:47:02.017013+00:00,42.966924,-78.563497,29.6,-0.14,-0.8,358.7,23279.73,0,city,CLR,0
D_021,2025-10-04T18:09:02.017013+00:00,42.99366,-78.757926,23.37,3.49,1.3,289.0,28717.97,0,city,CLR,0
D_047,2025-10-04T17:12:02.017013+00:00,42.959661,-78.826385,39.93,-0.17,-0.19,52.1,9241.8,0,city,RAN,0
D_060,2025-10-04T16:51:02.017013+00:00,42.967591,-78.921998,43.55,0.65,1.66,20.1,3975.68,0,city,CLR,0
D_067,2025-10-04T21:28:02.017013+00:00,43.006706,-78.667942,38.75,-0.09,0.9,356.7,45424.39,0,rural,CLR,0
D_042,2025-10-04T18:29:02.017013+00:00,43.004467,-78.740538,30.86,-0.2,0.56,60.5,32868.14,0,city,CLR,0
D_024,2025-10-04T21:02:02.017013+00:00,42.891913,-78.597443,36.56,-0.35,-0.72,189.9,20374.34,0,city,CLR,0
D_079,2025-10-04T17:42:02.017013+00:00,42.99156,-78.735911,105.62,-0.83,0.11,298.0,29731.8,0,highway,CLR,0
D_091,2025-10-04T20:08:02.017013+00:00,43.072299,-78.962119,60.72,-0.43,-1.35,40.0,43615.32,0,rural,CLR,0
D_039,2025-10-04T16:56:02.017013+00:00,42.972606,-78.751039,90.45,1.78,1.51,349.8,49596.93,0,highway,CLR,0
D_072,2025-10-04T18:22:02.017013+00:00,43.185758,-78.732806,35.84,0.24,-1.16,319.5,30509.31,0,city,RAN,0
D_045,2025-10-04T17:38:02.017013+00:00,42.911727,-78.868987,75.37,0.84,4.14,350.9,45343.02,0,rural,SNW,0
D_002,2025-10-04T18:07:02.017013+00:00,43.072852,-78.864029,28.02,2.3,1.47,123.1,42064.49,0,city,CLR,0
D_077,2025-10-04T16:06:02.017013+00:00,42.851633,-78.849687,76.02,1.02,0.84,212.0,5570.42,0,rural,CLR,0
D_089,2025-10-04T20:21:02.017013+00:00,42.670643,-78.846164,49.36,-1.71,-0.65,47.6,37338.33,0,city,CLR,0
D_085,2025-10-04T18:41:02.017013+00:00,42.945982,-78.680215,64.77,-0.04,-0.97,87.4,6019.02,0,rural,CLR,0
D_046,2025-10-04T20:37:02.017013+00:00,43.037183,-78.452168,103.22,0.07,0.83,46.6,42610.26,0,highway,CLR,0
D_085,2025-10-04T18:11:02.017013+00:00,42.932805,-78.660349,36.0,0.61,-1.2,260.5,5990.64,0,city,CLR,0
D_070,2025-10-04T16:13:02.017013+00:00,42.93941,-78.86059,38.7,0.76,2.79,284.4,13682.31,0,city,RAN,0
D_087,2025-10-04T18:18:02.017013+00:00,43.034299,-78.772524,98.77,0.88,-0.81,194.4,33602.25,0,highway,RAN,0
D_049,2025-10-04T20:33:02.017013+00:00,42.942612,-78.768552,97.71,-0.97,-0.35,190.8,40385.21,0,highway,CLR,0
D_080,2025-10-04T18:35:02.017013+00:00,42.865263,-78.807871,13.88,0.26,0.87,109.2,10023.69,0,city,CLR,0
D_095,2025-10-04T17:27:02.017013+00:00,42.882789,-78.833906,30.08,0.1,-3.42,266.6,30600.64,1,city,RAN,0
D_028,2025-10-04T21:35:02.017013+00:00,43.051906,-78.70587,101.05,-1.72,-0.7,118.8,11997.42,0,highway,RAN,0
D_040,2025-10-04T19:31:02.017013+00:00,43.004583,-78.78233,62.12,1.39,-1.12,109.9,12640.19,1,rural,RAN,0
D_055,2025-10-04T18:42:02.017013+00:00,43.061488,-78.557661,55.63,1.6,-2.71,211.9,22937.08,0,rural,CLR,0
D_008,2025-10-04T16:11:02.017013+00:00,42.901395,-78.880948,93.79,1.42,-2.56,218.0,28480.04,0,highway,CLR,0
D_068,2025-10-04T21:08:02.017013+00:00,42.968935,-79.027017,112.94,0.94,2.94,212.7,3933.52,0,highway,RAN,0
D_056,2025-10-04T21:30:02.017013+00:00,42.836611,-78.851343,35.55,3.48,1.78,66.4,27814.26,0,city,CLR,0
D_058,2025-10-04T20:26:02.017013+00:00,42.982119,-79.08545,112.37,-1.29,-1.91,187.4,27074.78,0,highway,CLR,0
D_003,2025-10-04T17:40:02.017013+00:00,42.91725,-78.96956,53.97,-1.64,-0.26,311.5,37824.65,0,city,RAN,0
D_078,2025-10-04T18:58:02.017013+00:00,43.083321,-78.802399,94.77,0.0,1.62,287.8,2375.59,0,highway,CLR,0
D_096,2025-10-04T21:27:02.017013+00:00,43.105749,-78.623473,86.03,0.81,-0.43,233.8,23389.83,0,highway,RAN,0
D_065,2025-10-04T20:00:02.017013+00:00,43.054883,-78.962089,37.5,-0.62,0.57,353.5,30253.19,0,city,CLR,0
D_040,2025-10-04T20:28:02.017013+00:00,43.086426,-78.85482,38.55,1.34,-1.32,12.2,12697.08,0,city,CLR,0
D_086,2025-10-04T16:12:02.017013+00:00,42.971302,-78.832292,44.92,0.58,-4.22,258.0,15402.71,0,city,CLR,0
D_093,2025-10-04T16:31:02.017013+00:00,42.930861,-78.861565,74.08,-1.34,-1.38,232.4,24289.24,0,rural,CLR,0
D_037,2025-10-04T18:54:02.017013+00:00,43.02194,-79.230767,26.31,0.63,0.14,103.4,3665.39,0,city,CLR,0
D_019,2025-10-04T19:30:02.017013+00:00,42.876878,-78.842706,114.3,1.27,-2.67,187.7,9728.6,0,highway,RAN,0
D_050,2025-10-04T19:06:02.017013+00:00,42.991652,-78.675006,93.08,0.03,-1.59,230.6,10501.74,0,highway,CLR,0
D_001,2025-10-04T18:05:02.017013+00:00,43.134485,-78.823977,21.33,1.15,-1.26,235.2,11829.06,0,city,RAN,0
D_072,2025-10-04T20:56:02.017013+00:00,43.114482,-78.661625,39.76,-1.44,-1.03,356.1,30675.14,0,city,CLR,0
D_030,2025-10-04T18:33:02.017013+00:00,42.926798,-78.496305,72.95,1.21,1.21,174.9,34531.95,0,rural,CLR,0
